idx,parent_device_id,product_type,air_temp [K],process_temp [K],speed [RPM],torque [Nm],tool_wear [min],target
65,13016,L,302.61,311.01,1285,67.28,115,failure
66,19242,L,302.27,310.43,1334,59.69,183,failure
67,4022,L,302.1,310.9,1666,30.7,203,normal
68,3434,M,301.5,310.5,1412,44.1,184,normal
69,7496,L,300.2,311.8,1464,44.5,179,normal
70,12244,L,302.15,310.52,1357,56.41,107,failure
71,2729,L,299.7,309.3,1417,54.6,131,normal
72,18684,L,299.56,309.17,1428,57.44,20,failure
73,9124,L,297.4,308.4,1426,50.4,70,normal
74,16972,H,302.51,311.4,1626,33.59,229,failure
75,16380,L,297.87,308.85,2175,15.16,107,failure
76,18724,L,302.79,311.28,1340,50.51,207,failure
77,18204,L,301.94,310.77,1339,58.1,188,failure
78,1188,L,297.3,308.4,1339,52.1,36,normal
79,7320,H,299.8,310.2,1411,49.7,161,normal
80,5748,M,302.2,311.7,1576,34.0,28,normal
81,18566,L,301.76,311.05,2748,8.37,12,failure
82,7287,M,300.2,310.4,1530,35.7,80,normal
83,12260,L,299.42,309.87,1374,55.28,202,failure
84,18584,L,299.07,310.53,1749,26.87,222,failure
85,4721,L,303.5,311.8,1927,21.9,195,normal
86,6128,L,300.9,311.0,1499,38.0,111,normal
87,2196,M,299.7,308.9,1551,35.4,82,normal
88,14848,L,301.96,310.14,1325,53.28,82,failure
89,13399,L,298.09,308.24,1407,54.99,218,failure
90,16261,L,301.31,311.07,1282,67.98,8,failure
91,6114,M,300.8,310.8,1549,35.5,79,normal
92,6117,L,300.8,311.0,1578,44.4,86,normal
93,10320,L,303.22,311.63,1317,50.63,69,failure
94,6988,L,300.7,311.1,1478,46.8,165,normal
95,19007,L,302.14,310.17,1365,47.48,170,failure
96,13843,L,300.96,310.67,1339,58.62,203,failure
97,1270,M,298.0,309.4,1276,65.9,50,normal
98,8928,L,297.4,308.4,1531,41.5,213,normal
99,17146,L,299.45,310.26,1398,54.26,218,failure
100,1208,L,297.0,308.1,1489,44.1,96,normal
101,17139,L,300.6,309.4,1366,63.18,44,failure
102,236,L,298.1,308.3,1495,38.7,188,normal
103,6331,H,300.5,310.0,1495,47.4,184,normal
104,16968,L,302.38,310.6,1264,67.76,198,failure
105,2463,L,298.9,308.5,1580,39.1,119,normal
106,18926,L,302.89,311.5,1309,57.48,82,failure
107,16782,L,301.58,311.13,1495,37.33,205,failure
108,13764,L,302.11,310.27,1377,52.34,117,failure
109,10861,L,297.51,308.35,1473,40.56,220,failure
110,656,M,297.7,309.1,1732,28.1,167,normal
111,11405,L,302.16,310.24,1334,47.48,57,failure
112,18942,L,299.58,309.2,1867,23.42,224,failure
113,10509,M,301.9,310.06,1286,66.7,113,failure
114,17285,L,302.46,310.86,1367,54.01,149,failure
115,17415,L,301.18,310.08,1369,59.09,30,failure
116,10864,L,302.84,311.08,1369,47.75,31,failure
117,12825,L,303.42,311.81,1317,51.02,68,failure
118,10606,L,302.69,310.58,1260,67.83,196,failure
119,18453,L,298.51,308.96,1601,36.26,220,failure
120,10564,L,298.92,308.48,1376,50.43,220,failure
121,6415,L,300.4,310.1,1503,42.2,196,normal
122,9107,M,297.5,308.5,1662,30.3,26,normal
123,14471,L,299.94,309.92,1399,43.88,221,failure
124,18795,L,301.75,310.61,2669,11.83,122,failure
125,6017,L,300.8,310.9,1398,38.2,50,normal
126,3025,L,300.5,309.6,1366,50.2,219,normal
127,11835,M,302.2,310.6,1348,49.77,132,failure
128,7131,M,300.5,309.8,1410,44.4,111,normal
129,11162,L,303.48,312.67,2661,11.45,26,failure
130,141,L,298.7,308.5,1544,35.2,159,normal
131,5230,M,303.8,313.1,2117,18.6,22,normal
132,18950,H,302.56,310.4,1301,56.5,20,failure
133,7458,M,300.1,311.6,1433,51.4,76,normal
134,5257,L,303.5,313.0,1482,38.5,82,normal
135,13663,H,302.61,310.4,1302,56.1,20,failure
136,9822,L,298.5,309.4,1360,60.9,187,failure
137,267,L,297.9,308.0,1954,21.1,42,normal
138,16553,L,300.49,310.12,1446,43.05,208,failure
139,12135,L,299.34,310.18,1781,25.76,225,failure
140,11591,L,297.39,308.03,1331,73.24,158,failure
141,2923,M,300.7,309.7,1397,51.3,155,normal
142,1439,M,298.8,309.8,1534,37.0,47,normal
143,10654,L,303.4,311.79,1305,60.42,215,failure
144,9916,M,298.5,308.8,1553,34.9,18,normal
145,17250,M,300.37,311.14,1381,65.1,136,failure
146,18564,H,299.64,309.82,2584,12.52,89,failure
147,5437,M,302.9,312.6,1394,46.4,82,normal
148,19261,L,302.0,310.4,1214,55.81,79,failure
149,2755,L,299.7,309.2,1478,38.8,199,normal
150,9861,M,298.7,309.6,1800,24.8,78,normal
151,12265,L,302.71,310.76,1359,52.72,9,failure
152,2752,M,299.7,309.1,1851,24.7,189,normal
153,5649,M,302.5,311.9,1414,51.6,205,normal
154,16141,L,302.36,310.84,1266,66.58,189,failure
155,15391,H,301.92,312.19,1405,52.3,235,failure
156,8669,M,297.5,308.8,1471,52.3,152,normal
157,9619,M,298.9,310.0,1323,52.9,106,normal
158,2339,L,299.2,308.2,1466,41.3,8,normal
159,18232,M,302.31,310.79,1359,45.47,66,failure
160,18517,L,299.8,309.76,1451,61.81,121,failure
161,8588,L,297.3,307.8,1385,44.4,169,normal
162,18973,L,302.06,310.46,1339,54.73,109,failure
163,5924,L,300.3,310.2,1369,48.8,36,normal
164,7052,H,300.6,310.4,1510,42.8,124,normal
165,18547,L,300.2,310.24,1250,72.09,195,failure
166,13176,L,303.23,311.23,1359,47.06,29,failure
167,12690,L,296.33,306.98,2270,14.95,164,failure
168,7335,L,299.9,310.4,1328,49.9,206,normal
169,16522,L,297.65,308.51,1396,53.22,212,failure
170,3704,M,302.0,311.2,1400,49.5,20,normal
171,7844,L,300.1,311.7,1503,42.6,208,normal
172,10090,L,302.34,310.42,1331,52.02,154,failure
173,15700,L,302.2,310.6,1346,47.58,108,failure
174,11990,L,297.93,308.65,1393,61.78,58,failure
175,2535,L,299.0,308.8,1495,38.4,75,normal
176,6056,L,300.8,310.8,1634,29.2,149,normal
177,19077,L,301.91,310.33,1311,56.4,40,failure
178,13165,L,302.37,311.37,1441,55.76,179,failure
179,12838,L,302.55,311.31,1236,56.53,222,failure
180,10439,L,300.37,310.14,1438,45.89,208,failure
181,135,M,298.8,308.5,1711,28.5,140,normal
182,5015,L,303.9,313.0,1759,28.4,74,normal
183,10836,L,299.98,311.33,1374,56.89,213,failure
184,12538,M,299.59,309.56,2657,11.42,92,failure
185,7865,L,300.5,311.9,1383,50.5,35,normal
186,10109,M,302.53,311.87,1257,71.13,120,failure
187,12800,M,302.26,310.2,1376,50.45,163,failure
188,12706,L,297.24,308.6,1324,45.8,206,failure
189,14493,L,301.04,310.58,1658,31.63,232,failure
190,12235,L,302.63,310.44,1359,56.86,66,failure
191,475,L,297.4,309.1,1380,41.1,152,normal
192,9788,M,298.5,309.5,1535,39.8,87,normal
193,18097,L,303.49,311.82,1308,53.01,86,failure
194,1073,L,297.0,307.8,1414,47.5,168,normal
195,15985,L,299.64,309.68,1416,60.91,121,failure
196,18574,L,299.64,310.31,1321,67.48,19,failure
197,6607,L,301.5,310.5,1556,39.1,48,normal
198,13061,L,298.18,308.97,2865,4.48,135,failure
199,10491,L,302.57,310.46,1359,55.69,67,failure
200,7463,H,300.1,311.4,1518,46.9,87,normal
201,17113,L,302.72,310.76,1328,61.15,54,failure
202,869,L,295.8,306.5,1358,49.2,63,normal
203,7279,L,300.0,310.1,1465,40.9,60,normal
204,9991,M,298.9,308.4,1827,26.1,5,normal
205,5597,L,302.7,312.0,1501,37.0,77,normal
206,15084,L,301.76,310.2,1337,59.03,110,failure
207,1582,H,298.1,308.3,1530,42.0,184,normal
208,1765,L,298.2,307.6,1368,51.8,5,normal
209,11713,M,299.89,309.15,2677,10.74,85,failure
210,18359,L,300.76,311.88,1367,58.24,191,failure
211,3024,L,300.5,309.6,1465,41.6,217,normal
212,6876,L,300.8,311.2,1430,54.4,85,normal
213,17802,L,299.98,309.16,1313,54.91,187,failure
214,2555,L,299.3,309.2,1511,37.2,129,normal
215,4143,L,301.7,310.1,1500,39.6,56,normal
216,19118,L,295.85,306.34,1235,76.07,88,failure
217,3919,H,302.5,311.5,1655,32.3,142,normal
218,11476,M,303.61,311.96,2662,11.43,71,failure
219,9571,L,299.7,310.8,1589,36.0,190,normal
220,7194,L,300.1,310.1,1380,52.6,59,normal
221,1133,M,296.8,307.9,1418,47.9,127,normal
222,4642,L,303.2,311.4,1238,54.6,226,failure
223,18165,L,302.24,310.18,1354,45.88,6,failure
224,16368,H,302.21,310.91,1366,49.14,130,failure
225,17000,L,302.41,310.95,1362,44.66,66,failure
226,403,L,297.3,308.6,1273,59.8,182,normal
227,16682,L,297.62,308.19,1258,69.14,109,failure
228,2369,M,299.2,308.4,1856,22.7,86,normal
229,9385,M,297.5,308.1,1907,23.5,125,normal
230,14544,L,302.5,310.6,1309,56.69,129,failure
231,16280,L,302.74,311.29,1367,45.53,37,failure
232,15904,H,302.45,310.67,1278,57.45,24,failure
233,15911,L,302.3,310.8,1376,47.3,21,failure
234,5956,L,300.7,310.9,1535,37.1,113,normal
235,19215,L,301.91,310.89,1442,43.58,208,failure
236,18500,L,299.82,310.11,1256,70.78,136,failure
237,704,L,297.7,308.9,1516,33.7,92,normal
238,6742,H,301.7,311.2,1639,30.0,161,normal
239,18848,L,302.4,310.43,1370,53.26,159,failure
240,344,M,297.5,308.2,2448,13.8,29,normal
241,13664,L,303.13,311.29,1349,51.11,8,failure
242,13233,M,300.97,310.06,1787,26.95,221,failure
243,10914,L,302.94,311.34,1367,57.48,92,failure
244,16660,L,303.14,311.29,1349,49.92,9,failure
245,10947,L,298.08,308.41,1334,69.67,151,failure
246,13312,L,302.3,311.48,1364,51.99,122,failure
247,14192,L,301.95,310.07,1334,60.58,182,failure
248,5249,M,303.4,312.9,1422,39.9,63,normal
249,18622,L,301.8,309.9,1313,51.98,190,failure
250,16194,L,301.15,310.86,1337,60.88,203,failure
251,9578,L,299.4,310.7,1551,41.2,3,normal
252,9127,L,297.4,308.5,1761,27.2,76,normal
253,210,L,298.4,308.7,1523,36.1,126,normal
254,16562,L,301.62,310.12,1327,48.4,75,failure
255,15901,L,301.0,310.83,2449,13.54,179,failure
256,8259,L,299.1,310.5,1471,38.4,146,normal
257,9737,L,298.9,310.0,1791,27.6,166,normal
258,1941,L,298.1,307.9,1425,58.2,57,normal
259,6626,L,301.6,310.6,1613,42.5,97,normal
260,3182,M,300.1,309.3,1443,50.3,196,normal
261,12078,L,299.14,309.03,1376,51.35,222,failure
262,6495,M,300.6,309.8,1694,31.1,187,normal
263,7140,L,300.5,309.9,1382,46.5,134,normal
264,7495,L,300.3,311.9,1609,34.0,177,normal
265,13354,L,300.56,309.6,1515,33.22,211,failure
266,18269,L,302.03,311.47,1301,61.14,208,failure
267,10414,M,302.21,310.74,1355,51.78,125,failure
268,7556,L,300.3,311.4,1471,37.0,114,normal
269,4102,L,302.0,310.4,1450,46.6,165,normal
270,3372,L,301.4,310.8,1431,44.3,21,normal
271,4443,L,302.5,310.3,1405,57.4,152,normal
272,9151,L,297.6,308.6,1553,40.5,135,normal
273,19016,L,298.75,309.64,1292,66.82,11,failure
274,17767,L,303.43,312.06,1245,56.2,220,failure
275,1149,L,297.2,308.1,1446,38.5,164,normal
276,9451,H,298.0,308.7,1536,39.6,99,normal
277,10327,L,302.13,310.67,1264,61.49,90,failure
278,11313,L,298.78,309.07,2862,4.57,140,failure
279,6386,L,300.2,309.7,1656,34.3,120,normal
280,18130,L,299.4,309.79,1517,35.11,211,failure
281,2153,H,299.3,308.8,1397,45.4,191,normal
282,1447,M,299.0,310.3,1662,33.6,67,normal
283,13796,H,302.16,310.72,1369,50.73,128,failure
284,13467,L,298.24,309.53,1400,66.79,62,failure
285,9470,H,298.6,309.4,1439,47.1,149,normal
286,8529,M,298.5,309.4,1522,47.4,20,normal
287,15069,L,302.2,310.41,1356,50.07,38,failure
288,5009,L,303.7,312.8,1523,40.7,59,normal
289,8784,L,297.5,308.6,1437,43.3,34,normal
290,9597,L,298.9,310.1,1510,38.0,52,normal
291,17930,H,300.43,309.9,1395,46.18,210,failure
292,10031,L,303.15,311.37,1339,56.47,187,failure
293,16168,L,302.53,311.46,1442,59.78,169,failure
294,9723,L,298.8,309.8,1599,33.6,131,normal
295,19026,H,301.58,310.02,1261,62.66,20,failure
296,15622,L,300.9,309.66,1365,60.38,44,failure
297,6658,L,301.4,310.4,1430,50.9,178,normal
298,1135,L,296.9,307.9,1535,39.2,133,normal
299,14303,L,302.46,310.2,1358,55.44,62,failure
300,2661,M,299.9,309.4,1509,42.8,190,normal
301,13816,L,302.02,311.33,1257,70.8,121,failure
302,15849,L,303.31,311.58,1422,46.06,103,failure
303,4091,M,302.0,310.4,1595,32.9,135,normal
304,15161,L,300.44,309.27,2476,13.37,189,failure
305,14539,L,300.99,310.33,1351,58.52,207,failure
306,17427,L,302.82,310.91,1358,45.84,117,failure
307,11677,L,303.14,311.34,1373,47.78,62,failure
308,9545,L,299.6,311.0,1430,38.3,124,normal
309,8315,H,298.7,309.8,1422,40.7,85,normal
310,6659,L,301.3,310.3,1626,31.3,180,normal
311,8721,L,297.2,308.7,1669,30.7,72,normal
312,2889,M,300.7,309.7,1523,38.2,73,normal
313,4509,L,302.4,310.1,1429,43.7,104,normal
314,1148,L,297.1,308.0,1348,58.0,162,normal
315,10539,L,300.8,310.39,1438,42.7,210,failure
316,3451,L,301.6,310.6,1455,43.9,0,normal
317,4411,L,302.5,310.3,1688,31.6,66,normal
318,3057,L,300.1,309.1,1400,46.7,77,normal
319,14983,L,301.12,309.83,1440,39.83,214,failure
320,6409,L,300.3,310.0,1560,40.8,182,normal
321,14302,L,302.94,311.25,1361,48.15,107,failure
322,9163,L,297.6,308.6,1415,47.3,169,normal
323,19297,L,297.94,309.24,2824,5.85,126,failure
324,11057,L,302.62,310.67,1353,49.25,6,failure
325,6220,L,301.1,310.8,1470,49.3,116,normal
326,18579,L,302.97,311.25,1324,52.27,223,failure
327,1840,M,297.7,307.2,1405,43.7,2,normal
328,3487,M,301.8,310.8,1508,38.8,96,normal
329,17832,L,298.47,308.92,1403,55.16,218,failure
330,19182,L,302.4,310.3,1374,52.08,161,failure
331,61,M,298.8,309.0,1592,38.2,169,normal
332,14702,L,302.36,310.94,1360,50.27,38,failure
333,13903,L,297.87,308.32,1363,55.5,216,failure
334,12376,L,298.01,308.22,1348,58.54,202,failure
335,9511,L,299.1,310.3,1449,40.7,40,normal
336,16374,L,302.1,310.67,1340,54.54,204,failure
337,13288,L,302.2,310.6,1344,49.44,160,failure
338,16046,L,302.6,310.4,1363,65.0,77,failure
339,2649,M,299.9,309.5,1582,38.2,160,normal
340,10879,H,302.47,312.19,1413,53.35,244,failure
341,10372,L,301.83,309.99,1284,68.38,109,failure
342,2756,L,299.7,309.2,1781,29.6,201,normal
343,16490,L,301.99,310.38,1370,51.84,154,failure
344,11250,L,302.98,311.16,1341,50.77,173,failure
345,4796,L,303.5,312.4,1390,47.3,164,normal
346,17638,L,302.5,310.9,1333,48.34,110,failure
347,8906,L,297.3,308.7,1592,34.4,158,normal
348,1063,M,296.8,307.8,1664,32.8,142,normal
349,10983,L,300.2,309.44,1436,39.2,215,failure
350,16998,H,299.37,309.3,1396,48.3,210,failure
351,5745,L,302.1,311.5,1987,20.1,21,normal
352,7375,M,299.4,309.9,1567,40.6,87,normal
353,12610,L,301.94,311.5,1265,68.59,230,failure
354,4229,M,302.2,310.8,1408,46.8,49,normal
355,10546,L,299.91,309.63,1424,50.37,230,failure
356,1791,L,298.1,307.8,1524,40.8,71,normal
357,7199,L,300.0,309.9,1507,41.4,74,normal
358,18927,L,299.02,308.99,2708,10.49,23,failure
359,10643,L,300.08,309.45,1969,21.03,202,failure
360,11208,L,302.27,310.78,1330,61.39,92,failure
361,16133,L,298.61,309.51,2138,15.7,107,failure
362,18036,L,303.19,312.37,1359,57.21,193,failure
363,8047,L,300.6,311.9,1463,38.2,41,normal
364,10750,L,302.27,311.14,1313,67.43,45,failure
365,12696,L,298.3,307.7,1510,31.06,208,failure
366,13841,L,297.43,308.35,1339,60.23,206,failure
367,11525,L,300.48,311.04,1296,61.43,202,failure
368,4591,H,302.9,311.2,2102,17.8,91,normal
369,13358,L,299.47,309.22,1275,68.75,70,failure
370,556,L,297.5,309.4,1357,50.1,137,normal
371,5642,L,302.5,312.0,1495,38.8,186,normal
372,14067,M,302.92,311.48,1314,54.91,70,failure
373,13345,L,302.7,310.75,1446,42.58,211,failure
374,18890,L,299.4,310.7,1829,25.16,215,failure
375,11683,L,301.84,310.58,2672,11.74,121,failure
376,15691,L,298.97,308.36,1510,31.5,208,failure
377,17686,L,301.66,309.9,1316,49.73,187,failure
378,7360,L,299.5,310.1,1585,35.2,50,normal
379,18047,H,299.67,309.39,1377,61.12,96,failure
380,16830,L,302.99,310.91,1318,58.67,89,failure
381,6093,L,301.0,310.8,1375,57.2,20,normal
382,12150,L,300.82,309.9,1311,65.2,192,failure
383,8565,L,298.0,308.8,1489,36.5,109,normal
384,4633,L,303.0,311.2,1382,50.5,203,normal
385,10847,L,297.7,308.42,1399,57.28,199,failure
386,3441,L,301.4,310.4,1559,39.4,199,normal
387,16184,L,302.34,310.12,1356,54.18,61,failure
388,4593,L,303.0,311.2,1409,41.9,98,normal
389,17572,L,298.05,308.49,1259,66.86,101,failure
390,18987,H,300.23,310.53,1438,47.82,70,failure
391,6178,L,301.1,310.9,1282,67.9,10,failure
392,600,L,297.8,309.7,1547,37.3,25,normal
393,5935,L,300.5,310.5,1646,34.5,63,normal
394,7860,L,300.5,312.0,1415,44.6,23,normal
395,7394,L,299.7,310.6,1479,38.0,137,normal
396,12598,L,298.83,308.69,1346,58.14,202,failure
397,3533,L,302.0,311.0,1563,36.2,8,normal
398,17676,L,302.82,310.98,1372,54.4,118,failure
399,829,L,296.5,307.3,1579,34.5,166,normal
400,13779,L,300.76,311.88,1367,58.24,191,failure
401,5151,L,304.3,313.6,1409,56.0,19,normal
402,12715,L,299.82,309.07,1383,53.2,217,failure
403,19143,L,299.93,311.0,1973,21.99,213,failure
404,3405,M,301.3,310.4,1635,32.5,110,normal
405,10691,L,298.8,309.98,2254,16.45,219,failure
406,3081,M,300.0,309.3,1932,21.8,135,normal
407,19064,H,300.53,310.67,1438,48.38,76,failure
408,11840,L,301.32,310.16,1264,64.94,17,failure
409,6894,L,301.1,311.7,1408,46.3,135,normal
410,6346,L,300.2,309.7,1275,60.7,15,normal
411,9853,L,298.6,309.4,1525,37.8,54,normal
412,16175,L,300.93,310.55,1358,60.3,206,failure
413,12935,L,302.35,310.82,1376,47.27,22,failure
414,3534,M,302.0,311.1,1769,26.0,10,normal
415,3390,H,301.5,310.7,1599,40.4,72,normal
416,5902,L,300.9,310.6,1598,35.4,186,normal
417,15456,L,298.26,308.44,1347,58.83,202,failure
418,15020,L,299.39,309.33,1389,58.7,195,failure
419,9627,M,298.9,310.0,1487,36.6,129,normal
420,13336,L,297.46,308.66,1323,44.45,207,failure
421,13303,L,302.61,310.59,1356,51.84,34,failure
422,15420,H,302.06,311.56,1368,57.57,208,failure
423,2494,L,299.1,308.8,1329,53.6,207,failure
424,16878,L,299.0,310.4,1369,52.93,227,failure
425,393,M,297.5,308.4,1350,52.2,157,normal
426,6378,L,300.0,309.6,1514,44.6,98,normal
427,6610,L,301.5,310.4,1543,34.0,55,normal
428,11233,L,299.19,310.26,2133,16.54,144,failure
429,16319,L,302.59,311.67,1358,59.74,197,failure
430,10122,L,301.21,310.34,1380,52.11,216,failure
431,2429,L,298.9,308.3,1432,48.9,38,normal
432,4413,M,302.7,310.5,1398,47.3,70,normal
433,8811,L,297.2,308.5,1574,35.8,95,normal
434,7104,L,300.9,310.4,1454,43.1,43,normal
435,10390,H,299.47,309.8,2589,12.46,91,failure
436,19017,L,302.6,310.85,1367,61.7,89,failure
437,2237,L,299.3,308.6,1403,50.6,189,normal
438,2250,M,299.2,308.4,1396,48.7,13,normal
439,14933,L,299.94,309.33,1252,69.01,123,failure
440,19078,L,299.0,310.4,1366,50.66,226,failure
441,10567,L,302.11,310.01,1355,45.12,6,failure
442,10857,L,302.02,310.86,1377,51.87,211,failure
443,9644,L,299.3,310.4,1629,32.6,177,normal
444,5739,M,302.2,311.7,1653,31.4,2,normal
445,17218,L,299.42,310.01,1288,59.93,216,failure
446,10080,L,298.32,309.33,1291,61.71,200,failure
447,11740,L,298.83,309.06,1431,39.18,217,failure
448,660,M,297.7,309.2,1700,27.4,176,normal
449,7095,L,300.6,310.1,1485,49.9,19,normal
450,2244,M,299.3,308.4,1542,37.5,203,failure
451,17698,L,302.65,312.35,1464,50.95,252,failure
452,17257,H,302.24,311.64,1412,53.24,242,failure
453,17403,L,297.32,307.98,1329,74.01,163,failure
454,17493,L,301.11,311.05,1370,57.69,91,failure
455,3474,M,301.9,310.8,1557,35.3,65,normal
456,6162,L,301.0,310.8,1558,34.9,196,normal
457,14927,L,298.38,310.06,1333,70.87,28,failure
458,12458,L,303.3,311.5,1373,47.31,60,failure
459,14159,L,300.51,310.01,1352,58.1,197,failure
460,10777,L,303.38,311.48,1308,55.56,43,failure
461,7103,H,300.8,310.3,1777,30.1,38,normal
462,11454,L,302.47,310.18,1327,50.93,145,failure
463,2119,M,299.3,308.9,1858,24.7,101,normal
464,7213,M,299.8,309.8,1427,45.2,106,normal
465,14431,L,298.05,308.94,1324,45.92,205,failure
466,4066,M,301.9,310.7,1472,47.0,73,normal
467,2544,L,299.2,309.0,1951,21.4,102,normal
468,10321,L,299.94,308.91,2340,14.11,187,failure
469,8873,H,298.0,309.1,1557,36.4,65,normal
470,6394,M,300.2,309.7,1408,44.0,144,normal
471,3556,L,301.9,310.8,1735,31.5,66,normal
472,6185,L,301.1,311.0,1918,21.7,28,normal
473,15050,L,300.59,310.25,1649,30.35,209,failure
474,5285,L,303.8,313.1,1523,39.8,150,normal
475,11705,L,300.21,309.47,1420,50.94,230,failure
476,10416,L,299.53,310.63,1920,23.39,204,failure
477,8935,L,297.4,308.3,1801,26.9,11,normal
478,13609,L,302.7,310.66,1365,46.4,10,failure
479,125,L,298.9,308.6,1560,32.2,118,normal
480,7064,M,300.8,310.5,1696,29.7,162,normal
481,7645,L,300.4,311.4,1662,29.3,129,normal
482,17509,L,300.65,310.56,1363,59.58,206,failure
483,11481,L,302.74,310.66,1349,51.19,6,failure
484,272,L,298.1,308.1,1484,40.4,59,normal
485,7316,L,299.9,310.4,1497,47.0,150,normal
486,9321,L,298.4,309.2,1335,53.5,168,normal
487,17812,L,299.67,308.81,1373,60.37,30,failure
488,15089,L,297.95,308.94,1877,25.3,200,failure
489,5240,L,303.7,313.0,1694,28.0,44,normal
490,15718,L,302.39,310.22,1350,45.26,167,failure
491,3720,M,302.4,311.4,1508,41.2,60,normal
492,4983,L,303.8,313.1,1869,25.8,211,normal
493,12259,L,302.33,310.71,1334,53.26,159,failure
494,9542,L,299.6,310.9,1716,28.5,117,normal
495,3616,M,301.8,311.1,1413,42.2,9,normal
496,1931,M,298.2,308.0,1969,21.7,32,normal
497,7366,H,299.6,310.1,1531,36.8,62,normal
498,11903,L,297.48,308.5,1369,50.76,220,failure
499,6068,M,301.0,310.9,2047,17.9,178,normal
500,16619,M,302.48,310.38,1351,48.95,6,failure
501,589,L,297.6,309.4,1491,40.2,231,normal
502,18442,L,298.86,309.64,1699,27.69,159,failure
503,13692,L,299.6,310.33,1908,23.32,209,failure
504,16372,M,302.26,311.28,1359,52.91,122,failure
505,16147,L,302.88,312.18,1362,62.17,197,failure
506,350,H,297.6,308.3,1400,44.3,43,normal
507,2992,M,300.5,309.7,1685,29.4,140,normal
508,12149,L,299.0,310.4,1368,52.01,227,failure
509,996,M,296.3,307.2,1286,51.1,177,normal
510,14458,L,300.36,309.78,1308,71.53,47,failure
511,17237,L,302.18,310.15,1377,49.02,165,failure
512,8648,M,297.4,308.4,1478,46.2,95,normal
513,6013,L,300.7,310.8,1597,30.5,38,normal
514,5667,L,302.2,311.4,2080,19.2,31,normal
